"","nome","pais","corrida","ano","horario","tempo","percurso","largada","chegada","data","pace","sexo"
"25","Viljo Heino","Finlândia",25,1949,"1949-12-31 23:40:00",22.75,7300,"Praça Oswaldo Cruz esquina com a Av. Paulista","Edifício Palácio da Imprensa – Rua da Conceição",1949-12-31 12:00:00,3.11643835616438,"masculino"
"26","Lucien Theys","Bélgica",26,1950,"1950-12-31 23:44:00",22.6166666666667,7300,"Rua da Conceição – Edifício Palácio da Imprensa","Edifício Palácio da Imprensa – Rua da Conceição",1950-12-31 12:00:00,3.09817351598174,"masculino"
"27","Erik Krucziky","Alemanha",27,1951,"1951-12-31 23:40:00",22.4333333333333,7300,"Rua da Conceição – Edifício Palácio da Imprensa","Edifício Palácio da Imprensa – Rua da Conceição",1951-12-31 12:00:00,3.07305936073059,"masculino"
"28","Franjo Mihalic","Iugoslávia",28,1952,"1952-12-31 23:30:00",21.6333333333333,7300,"Rua da Conceição – Edifício Palácio da Imprensa","Edifício Palácio da Imprensa – Rua da Conceição",1952-12-31 12:00:00,2.9634703196347,"masculino"
"29","Emil Zatopek","Checoslováquia",29,1953,"1953-12-31 23:30:00",20.5,7300,"Av. Cásper Líbero","Edifício Palácio da Imprensa – Rua da Conceição",1953-12-31 12:00:00,2.80821917808219,"masculino"
"30","Franjo Mihalic","Iugoslávia",30,1954,"1954-12-31 23:43:00",21.85,7400,"Av. Cásper Líbero","Edifício Palácio da Imprensa – Rua da Conceição",1954-12-31 12:00:00,2.9527027027027,"masculino"
"31","Kenneth Norris","Inglaterra",31,1955,"1955-12-31 23:45:00",22.3,7400,"Av. Cásper Líbero","Edifício Palácio da Imprensa – Rua da Conceição",1955-12-31 12:00:00,3.01351351351351,"masculino"
"32","Manoel Faria","Portugal",32,1956,"1956-12-31 23:45:00",21.9666666666667,7300,"Av. Cásper Líbero","Edifício Palácio da Imprensa – Rua da Conceição",1956-12-31 12:00:00,3.00913242009132,"masculino"
"33","Manoel Faria","Portugal",33,1957,"1957-12-31 23:45:00",21.6166666666667,7300,"Av. Cásper Líbero","Edifício Palácio da Imprensa – Rua da Conceição",1957-12-31 12:00:00,2.96118721461187,"masculino"
"34","Osvaldo Suarez","Argentina",34,1958,"1958-12-31 23:45:00",21.6666666666667,7400,"Av. Cásper Líbero","Edifício Palácio da Imprensa – Rua da Conceição",1958-12-31 12:00:00,2.92792792792793,"masculino"
"35","Osvaldo Suarez","Argentina",35,1959,"1959-12-31 23:45:00",21.9166666666667,7400,"Av. Cásper Líbero","Edifício Palácio da Imprensa – Rua da Conceição",1959-12-31 12:00:00,2.96171171171171,"masculino"
