nome,pais,corrida,ano,horario,tempo,percurso,largada,chegada
Paul Tergat,Quênia,71,1995,17:00:00,00:43:12.000,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Carmen Oliveira,Brasil,71,1995,15:15:00,00:50:53.000,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Ronaldo Costa,Brasil,70,1994,17:00:00,00:44:11.000,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Derartu Tulu,Etiópia,70,1994,15:15:00,00:51:17.000,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Simon Chemwoyo,Quênia,69,1993,17:00:00,00:43:20.000,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Hellen Kimayio,Quênia,69,1993,15:15:00,00:50:26.000,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Simon Chemwoyo,Quênia,68,1992,17:00:00,00:44:08.000,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Maria Del Carmen Diaz,México,68,1992,15:15:00,00:54:00.000,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Arturo Barrios,México,67,1991,17:00:00,00:44:04.000,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Maria Luisa Servin,México,67,1991,15:15:00,00:54:02.000,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Arturo Barrios,México,66,1990,17:00:00,00:35:58.000,12640,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Maria Del Carmen Diaz,México,66,1990,14:30:00,00:43:16.000,12640,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Rolando Vera,Equador,65,1989,17:00:00,00:36:45.000,12650,"Av. Paulista 900, em frente ao Edifício Cásper Líbero.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Maria Del Carmen Diaz,México,65,1989,14:30:00,00:43:52.000,12650,"Av. Paulista 900, em frente ao Edifício Cásper Líbero.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Rolando Vera,Equador,64,1988,23:05:00,00:36:23.000,12630,"Av. Paulista 900, em frente ao Edifício Cásper Líbero.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Aurora Cunha,Portugal,64,1988,20:30:00,00:42:12.000,12630,,"Av. Paulista 900, na frente do Edifício Cásper Líbero."
Rolando Vera,Equador,63,1987,23:05:00,00:39:02.000,13000,"Av. Paulista 900, em frente ao Edifício Cásper Líbero.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Martha Thenório,Equador,63,1987,23:05:00,00:46:27.000,13000,"Av. Paulista 900, em frente ao Edifício Cásper Líbero.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Rolando Vera,Equador,62,1986,23:05:00,00:36:45.000,12600,,"Av. Paulista 900, na frente do Edifício Cásper Líbero."
Rosa Mota,Portugal,62,1986,23:05:00,00:43:25.000,12600,"Av. Paulista 900, em frente ao Edifício Cásper Líbero.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
José João da Silva,Brasil,61,1985,23:05:00,00:36:48.000,12640,"Av. Paulista 900, em frente ao Edifício Cásper Líbero.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
